Count;InterProID;pubmeds;Name;ShortDescription
35;IPR013783;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
doi:10.1074/mcp.ra118.000924
imex:IM-13779
imex:IM-14135
imex:IM-16425
imex:IM-16527
imex:IM-17358
imex:IM-19205
imex:IM-24986
imex:IM-25472
imex:IM-25671
imex:IM-25778
imex:IM-25819
imex:IM-26653
imex:IM-26892
imex:IM-27093
imex:IM-28963
imex:IM-29006
imex:IM-29254
imex:IM-29278
imex:IM-29494
imex:IM-30463
pubmed:12526797
pubmed:15289498
pubmed:15728350
pubmed:1694173
pubmed:18691975
pubmed:18931684
pubmed:19738201
pubmed:20711500
pubmed:22232704
pubmed:22451694
pubmed:22623428
pubmed:22956999
pubmed:23414517
pubmed:24789099
pubmed:25294943
pubmed:28330616
pubmed:28514442
pubmed:30021884
pubmed:31287804
pubmed:32296183
pubmed:33961781
pubmed:35384245";Immunoglobulin-like fold;"<p>This superfamily represents domains with an immunoglobulin-like (Ig-like) fold, which consists of a β-sandwich of seven or more strands in two sheets with a Greek-key topology. Ig-like domains are one of the most common protein modules found in animals, occurring in a variety of different proteins. These domains are often involved in interactions, commonly with other Ig-like domains via their β-sheets [[cite:PUB00003330], [cite:PUB00018310], [cite:PUB00015110], [cite:PUB00027656]].  Domains within this fold-family share the same structure, but can diverge with respect to their sequence. Based on sequence, Ig-like domains can be classified as V-set domains (antibody variable domain-like), C1-set domains (antibody constant domain-like), C2-set domains, and I-set domains (antibody intermediate domain-like). Proteins can contain more than one of these types of Ig-like domains. For example, in the human T-cell receptor antigen CD2, domain 1 (D1) is a V-set domain, while domain 2 (D2) is a C2-set domain, both domains having the same Ig-like fold [[cite:PUB00027700]].</p>
<p>Domains with an Ig-like fold can be found in many, diverse proteins in addition to immunoglobulin molecules. For example, Ig-like domains occur in several different types of receptors (such as various T-cell antigen receptors), several cell adhesion molecules, MHC class I and II antigens, as well as the hemolymph protein hemolin, and the muscle proteins titin, telokin and twitchin.</p>"
28;IPR036179;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
doi:10.1074/mcp.ra118.000924
imex:IM-14135
imex:IM-16425
imex:IM-16527
imex:IM-17358
imex:IM-24986
imex:IM-25472
imex:IM-25778
imex:IM-26653
imex:IM-26892
imex:IM-28963
imex:IM-29006
imex:IM-29278
imex:IM-30463
pubmed:12526797
pubmed:15728350
pubmed:18691975
pubmed:18931684
pubmed:19738201
pubmed:22232704
pubmed:22623428
pubmed:22956999
pubmed:23414517
pubmed:25294943
pubmed:28514442
pubmed:30021884
pubmed:31287804
pubmed:32296183
pubmed:33961781";Immunoglobulin-like domain superfamily;"<p>The basic structure of immunoglobulin (Ig) molecules is a tetramer of two light chains and two heavy chains linked by disulphide bonds. There are two types of light chains: kappa and lambda, each composed of a constant domain (CL) and a variable domain (VL). There are five types of heavy chains: alpha, delta, epsilon, gamma and mu, all consisting of a variable domain (VH) and three (in alpha, delta and gamma) or four (in epsilon and mu) constant domains (CH1 to CH4). Ig molecules are highly modular proteins, in which the variable and constant domains have clear, conserved sequence patterns. The domains in Ig and Ig-like molecules are grouped into four types: V-set (variable; [interpro:IPR013106]), C1-set (constant-1; [interpro:IPR003597]), C2-set (constant-2; [interpro:IPR008424]) and I-set (intermediate; [interpro:IPR013098]) [[cite:PUB00014840]]. Structural studies have shown that these domains share a common core Greek-key β-sandwich structure, with the types differing in the number of strands in the β-sheets as well as in their sequence patterns [[cite:PUB00015110], [cite:PUB00010610]].</p>

<p>Immunoglobulin-like domains that are related in both sequence and structure can be found in several diverse protein families. Ig-like domains are involved in a variety of functions, including cell-cell recognition, cell-surface receptors, muscle structure and the immune system [[cite:PUB00027656]].</p>"
27;Homo sapiens;"Brak InterPro kodów dla tego białka.
IPR000008
IPR000711
IPR000909
IPR001129
IPR001192
IPR001288
IPR001509
IPR001537
IPR001564
IPR001675
IPR001711
IPR001849
IPR002048
IPR002067
IPR002314
IPR002320
IPR002659
IPR002957
IPR003598
IPR003599
IPR003961
IPR004095
IPR004154
IPR004441
IPR005475
IPR006076
IPR006195
IPR006759
IPR007110
IPR007667
IPR008386
IPR009014
IPR009125
IPR011992
IPR011993
IPR012163
IPR012675
IPR012676
IPR012947
IPR013098
IPR013123
IPR013783
IPR015359
IPR017853
IPR017946
IPR018039
IPR018108
IPR018163
IPR018247
IPR019814
IPR020781
IPR022764
IPR023005
IPR023352
IPR023395
IPR026015
IPR026071
IPR027110
IPR028391
IPR029026
IPR029028
IPR029061
IPR029064
IPR033248
IPR033728
IPR034907
IPR035892
IPR035952
IPR036116
IPR036179
IPR036188
IPR036291
IPR036621
IPR036787
IPR036788
IPR036850
IPR038578
IPR039008
IPR040849
IPR045864
IPR046975
IPR047182
IPR047246
IPR047261
IPR049563
IPR050355
IPR050925
IPR050943
IPR050964
IPR050997
IPR051207
IPR056576
IPR057279";;
25;IPR007110;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
doi:10.1074/mcp.ra118.000924
imex:IM-14135
imex:IM-16425
imex:IM-16527
imex:IM-17358
imex:IM-24986
imex:IM-25472
imex:IM-25778
imex:IM-26653
imex:IM-26892
imex:IM-28963
imex:IM-29278
imex:IM-30463
pubmed:15728350
pubmed:18691975
pubmed:18931684
pubmed:19738201
pubmed:22232704
pubmed:22623428
pubmed:23414517
pubmed:25294943
pubmed:28514442
pubmed:30021884
pubmed:31287804
pubmed:32296183
pubmed:33961781";Immunoglobulin-like domain;"<p>The basic structure of immunoglobulin (Ig) molecules is a tetramer of two light chains and two heavy chains linked by disulphide bonds. There are two types of light chains: kappa and lambda, each composed of a constant domain (CL) and a variable domain (VL). There are five types of heavy chains: alpha, delta, epsilon, gamma and mu, all consisting of a variable domain (VH) and three (in alpha, delta and gamma) or four (in epsilon and mu) constant domains (CH1 to CH4). Ig molecules are highly modular proteins, in which the variable and constant domains have clear, conserved sequence patterns. The domains in Ig and Ig-like molecules are grouped into four types: V-set (variable; [interpro:IPR013106]), C1-set (constant-1; [interpro:IPR003597]), C2-set (constant-2; [interpro:IPR008424]) and I-set (intermediate; [interpro:IPR013098]) [[cite:PUB00014840]]. Structural studies have shown that these domains share a common core Greek-key β-sandwich structure, with the types differing in the number of strands in the β-sheets as well as in their sequence patterns [[cite:PUB00015110], [cite:PUB00010610]].</p>

<p>Immunoglobulin-like domains that are related in both sequence and structure can be found in several diverse protein families. Ig-like domains are involved in a variety of functions, including cell-cell recognition, cell-surface receptors, muscle structure and the immune system [[cite:PUB00027656]].</p>"
20;IPR003599;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
doi:10.1074/mcp.ra118.000924
imex:IM-14135
imex:IM-16425
imex:IM-16527
imex:IM-17358
imex:IM-24986
imex:IM-25472
imex:IM-25778
imex:IM-26653
imex:IM-26892
imex:IM-28963
imex:IM-29006
imex:IM-29278
imex:IM-30463
pubmed:12526797
pubmed:15728350
pubmed:18691975
pubmed:18931684
pubmed:19738201
pubmed:22232704
pubmed:22623428
pubmed:22956999
pubmed:23414517
pubmed:25294943
pubmed:28514442
pubmed:30021884
pubmed:31287804
pubmed:32296183
pubmed:33961781";Immunoglobulin domain subtype;"<p>This entry represents a subtype of the immunoglobulin domain which is found in a group of proteins that includes:</p>

<ul>
<li>Cell surface receptors containing an immunoglobulin domain.</li>
<li>Killer cell inhibitory receptors.</li>
<li>Cell adhesion molecules.</li>
</ul>; <p>The basic structure of immunoglobulin (Ig) molecules is a tetramer of two light chains and two heavy chains linked by disulphide bonds. There are two types of light chains: kappa and lambda, each composed of a constant domain (CL) and a variable domain (VL). There are five types of heavy chains: alpha, delta, epsilon, gamma and mu, all consisting of a variable domain (VH) and three (in alpha, delta and gamma) or four (in epsilon and mu) constant domains (CH1 to CH4). Ig molecules are highly modular proteins, in which the variable and constant domains have clear, conserved sequence patterns. The domains in Ig and Ig-like molecules are grouped into four types: V-set (variable; [interpro:IPR013106]), C1-set (constant-1; [interpro:IPR003597]), C2-set (constant-2; [interpro:IPR008424]) and I-set (intermediate; [interpro:IPR013098]) [[cite:PUB00014840]]. Structural studies have shown that these domains share a common core Greek-key β-sandwich structure, with the types differing in the number of strands in the β-sheets as well as in their sequence patterns [[cite:PUB00015110], [cite:PUB00010610]].</p>

<p>Immunoglobulin-like domains that are related in both sequence and structure can be found in several diverse protein families. Ig-like domains are involved in a variety of functions, including cell-cell recognition, cell-surface receptors, muscle structure and the immune system [[cite:PUB00027656]].</p>"
19;IPR027417;"doi:10.1016/j.cell.2021.04.011
doi:10.1074/mcp.ra118.000924
imex:IM-13779
imex:IM-14442
imex:IM-16529
imex:IM-20461
imex:IM-24272
imex:IM-25472
imex:IM-26434
imex:IM-26653
imex:IM-29184
imex:IM-29278
imex:IM-29540
pubmed:16275649
pubmed:16754960
pubmed:20711500
pubmed:21565611
pubmed:26496610
pubmed:28534487
pubmed:30021884
pubmed:31980649
pubmed:32296183
pubmed:33961781
pubmed:36012204";P-loop containing nucleoside triphosphate hydrolase;"<p>The P-loop NTPase fold is the most prevalent domain of the several distinct nucleotide-binding protein folds.</p>

<p>The most common reaction catalysed by enzymes of the P-loop NTPase fold is the hydrolysis of the beta-gamma phosphate bond of a bound nucleoside triphosphate (NTP). The energy from NTP hydrolysis is typically utilised to induce conformational changes in other molecules, which constitutes the basis of the biological functions of most P-loop NTPases. P-loop NTPases show substantial substrate preference for either ATP or GTP [[cite:PUB00064266]].</p>"
18;IPR000742;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
doi:10.1038/s41467-019-11959-3
imex:IM-23318
imex:IM-24272
imex:IM-24524
imex:IM-25472
imex:IM-25511
imex:IM-25778
imex:IM-25819
imex:IM-27438
imex:IM-29278
imex:IM-29812
pubmed:24789099
pubmed:25416956
pubmed:25910212
pubmed:26496610
pubmed:26780296
pubmed:28514442
pubmed:31515488
pubmed:32296183
pubmed:32567740
pubmed:33961781
pubmed:unassigned4";EGF-like domain;"<p>This entry represents the EGF domain found in Cueball proteins, Prostaglandins and related proteins.</p>; <p>A sequence of about forty amino-acid residues found in epidermal growth factor (EGF) has been shown [[cite:PUB00004321], [cite:PUB00004609], [cite:PUB00004964], [cite:PUB00003983], [cite:PUB00001555]] to be present in a large number of membrane-bound and extracellular, mostly animal, proteins. Many of these proteins require calcium for their biological function, and a calcium-binding site has been found at the N-terminal of some EGF-like domains [[cite:PUB00002741]]. Calcium-binding may be crucial for numerous protein-protein interactions.</p>

<p>A common feature of all EGF-like domains is that they are found in the extracellular domain of membrane-bound proteins or in proteins known to be
secreted (exception: prostaglandin G/H synthase). The EGF-like domain includes six cysteine residues which have been shown to be involved in disulfide bonds. The structure of several EGF-like domains has been solved. The fold consists of two-stranded β-sheet followed by a loop to a C-terminal short
two-stranded sheet.</p>

<p>As in non-calcium binding EGF-like domains, there are six conserved cysteines and the structure of both types is very similar as calcium-binding induces only strictly local structural changes [[cite:PUB00002741]].</p>

<pre>
                             +------------------+        +---------+
                             |                  |        |         |
               nxnnC-x(3,14)-C-x(3,7)-CxxbxxxxaxC-x(1,6)-C-x(8,13)-Cx
                   |                  | 
                   +------------------+

'n': negatively charged or polar residue [DEQN]
'b': possibly beta-hydroxylated residue [DN]
'a': aromatic amino acid
'C': cysteine, involved in disulphide bond
'x': any amino acid.
</pre>"
17;IPR011009;"doi:10.1016/j.cell.2021.04.011
doi:10.1074/mcp.ra118.000924
imex:IM-13601
imex:IM-16425
imex:IM-23090
imex:IM-24272
imex:IM-25620
imex:IM-26434
imex:IM-26653
imex:IM-26892
imex:IM-27093
imex:IM-27626
imex:IM-29278
imex:IM-29494
imex:IM-30463
pubmed:12885943
pubmed:15289498
pubmed:18931684
pubmed:20159608
pubmed:23414517
pubmed:24584089
pubmed:24658140
pubmed:26496610
pubmed:30021884
pubmed:31287804
pubmed:31980649
pubmed:33961781
pubmed:35384245
pubmed:35914814";Protein kinase-like domain superfamily;"<p>This entry represents the protein kinase domain superfamily containing the catalytic function of protein kinases. This domain is found in serine/threonine-protein kinases, tyrosine-protein kinases and dual-specificity protein kinases. Protein kinases ([interpro:IPR000719]) modify other proteins by chemically adding phosphate groups to them. This process is fundamental to most signalling and regulatory processes in the eukaryotic cell [[cite:PUB00014025]].</p>; <p>Eukaryotic protein kinases [[cite:PUB00003569], [cite:PUB00005115], [cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
16;IPR000719;"doi:10.1016/j.cell.2021.04.011
doi:10.1074/mcp.ra118.000924
imex:IM-13601
imex:IM-16425
imex:IM-23090
imex:IM-24272
imex:IM-25620
imex:IM-26434
imex:IM-26653
imex:IM-26892
imex:IM-27093
imex:IM-27626
imex:IM-29278
imex:IM-29494
imex:IM-30463
pubmed:12885943
pubmed:15289498
pubmed:18931684
pubmed:20159608
pubmed:23414517
pubmed:24584089
pubmed:24658140
pubmed:26496610
pubmed:30021884
pubmed:31287804
pubmed:31980649
pubmed:33961781
pubmed:35384245
pubmed:35914814";Protein kinase domain;"<p>This entry represents the protein kinase domain containing the catalytic function of protein kinases [[cite:PUB00003569]]. This domain is found in serine/threonine-protein kinases, tyrosine-protein kinases and dual specificity protein kinases.</p>; <p>Eukaryotic protein kinases [[cite:PUB00003569], [cite:PUB00005115], [cite:PUB00015293], [cite:PUB00001530], [cite:PUB00003568]] are enzymes that belong to a very extensive family of proteins which share a conserved catalytic core common with both serine/threonine and tyrosine protein kinases. There are a number of conserved regions in the catalytic domain of protein kinases. In the N-terminal extremity of the catalytic domain there is a glycine-rich stretch of residues in the vicinity of a lysine residue, which has been shown to be involved in ATP binding. In the central part of the catalytic domain there is a conserved aspartic acid residue which is important for the catalytic activity of the enzyme [[cite:PUB00005145]].</p>; <p>Protein phosphorylation, which plays a key role in most cellular activities, is a reversible process mediated by protein kinases and phosphoprotein phosphatases. Protein kinases catalyse the transfer of the gamma phosphate from nucleotide triphosphates (often ATP) to one or more amino acid residues in a protein substrate side chain, resulting in a conformational change affecting protein function. Phosphoprotein phosphatases catalyse the reverse process. 
Protein kinases fall into three broad classes, characterised with respect to substrate specificity [[cite:PUB00005115]]:</p>

<ul>
<li>Serine/threonine-protein kinases</li>
<li>Tyrosine-protein kinases</li>
<li>Dual specificity protein kinases (e.g. MEK -phosphorylates both Thr and Tyr on target proteins)</li>
</ul>

<p>Protein kinase function is evolutionarily conserved from Escherichia coli to human [[cite:PUB00020114]]. Protein kinases play a role in a multitude of cellular processes, including division, proliferation, apoptosis, and differentiation [[cite:PUB00015362]]. Phosphorylation usually results in a functional change of the target protein by changing enzyme activity, cellular location, or association with other proteins. The catalytic subunits of protein kinases are highly conserved, and several structures have been solved [[cite:PUB00034898]], leading to large screens to develop kinase-specific inhibitors for the treatments of a number of diseases [[cite:PUB00034899]].</p>"
15;IPR013320;"doi:10.1016/j.cell.2021.04.011
doi:10.1038/nature22366
doi:10.1074/mcp.ra118.000924
imex:IM-14965
imex:IM-24272
imex:IM-24524
imex:IM-25778
imex:IM-26301
imex:IM-26653
imex:IM-29278
imex:IM-29812
pubmed:20217867
pubmed:26496610
pubmed:26780296
pubmed:28514442
pubmed:29568061
pubmed:30021884
pubmed:32567740
pubmed:33961781
pubmed:unassigned4";Concanavalin A-like lectin/glucanase domain superfamily;"<p>This superfamily represents the concanavalin A-like domain, which has a sandwich structure of 12-14 β-strands in two sheets with a complex topology. Proteins containing this domain include:</p>

<ul>
<li>Legume lectins</li>
<li>Glycosyl hydrolases family 16</li>
<li>Galectin (animal S-lectin)</li>
<li>Laminin G-like module</li>
<li>Pentraxin</li>
<li>Clostridium neurotoxins</li>
<li>Exotoxin A</li>
<li>Vibrio cholera sialidase</li>
<li>Leech intramolecular trans-sialidase</li>
<li>Glycosyl hydrolase family 7</li>
<li>Xylanase/endoglucanase</li>
<li>Calnexin/calreticulin</li>
<li>Lectin leg-like</li>
<li>vp4 sialic acid binding protein</li>
<li>Trypanosoma sialidase</li>
<li>Thrombospondin</li>
<li>Hypothetical protein YesU</li>
<li>Alginate lyase</li>
<li>Glycosyl hydrolases family 32</li>
<li>Peptidase A4</li>
<li>Alpha-L-arabinofuranosidase B</li>
<li>SPRY domain containing proteins</li>
<li>Beta-D-xylosidase</li>
<li>SO2946-like</li>
<li>MAM domain containing proteins</li>
</ul>"
