idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:P42225	ensembl:ENSMUSG00000054640	intact:EBI-647118	intact:EBI-11362093	psi-mi:stat1_mouse(display_long)|uniprotkb:Stat1(gene name)|psi-mi:Stat1(display_short)	uniprotkb:Slc8a1(gene name)|psi-mi:Slc8a1(display_short)|ensembl:slc8a1_mouse_gene(shortlabel)|psi-mi:ENSMUSG00000054640(display_long)	"psi-mi:""MI:0402""(chromatin immunoprecipitation assay)"	Radhakrishnan et al. (2015)	pubmed:25648899|imex:IM-24712	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-11362090|imex:IM-24712-1	intact-miscore:0.35
uniprotkb:K7VW09	uniprotkb:B6UEI1	intact:EBI-36522755	intact:EBI-36775805	psi-mi:k7vw09_maize(display_long)|uniprotkb:ZEAMMB73_Zm00001d046517(orf name)|uniprotkb:ZEAMMB73_Zm00001d046518(orf name)	psi-mi:b6uei1_maize(display_long)|uniprotkb:LOC100286108(gene name)|psi-mi:LOC100286108(display_short)|uniprotkb:ZEAMMB73_Zm00001d047242(orf name)	"psi-mi:""MI:0018""(two hybrid)"	Linqian et al. (2023)	pubmed:36581701|imex:IM-29553	"taxid:4577(maize)|taxid:4577(""Zea mays (Maize)"")"	"taxid:4577(maize)|taxid:4577(""Zea mays (Maize)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-36775820|imex:IM-29553-18773	author score:0.999171156|intact-miscore:0.37
uniprotkb:P57103	uniprotkb:P43304	intact:EBI-20825344|uniprotkb:Q5K3P6|uniprotkb:Q5K3P7|uniprotkb:Q8IUE9|uniprotkb:Q8IUF0|uniprotkb:Q8NFI7|uniprotkb:Q96QG1|uniprotkb:Q96QG2|ensembl:ENSP00000370669.2	intact:EBI-7600203|uniprotkb:Q59FR1|intact:MINT-4530883|uniprotkb:Q9HAP9|uniprotkb:A8K4V0|uniprotkb:B3KSA9|ensembl:ENSP00000308610.5|ensembl:ENSP00000386425.1|ensembl:ENSP00000386626.1|ensembl:ENSP00000409708.2	"psi-mi:nac3_human(display_long)|uniprotkb:SLC8A3(gene name)|psi-mi:SLC8A3(display_short)|uniprotkb:NCX3(gene name synonym)|uniprotkb:""Na(+)/Ca(2+)-exchange protein 3""(gene name synonym)|uniprotkb:Solute carrier family 8 member 3(gene name synonym)"	psi-mi:gpdm_human(display_long)|uniprotkb:GPD2(gene name)|psi-mi:GPD2(display_short)|uniprotkb:mtGPD(gene name synonym)|uniprotkb:mitohondrial glycerophosphate dehydrogenase gene(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54770104|imex:IM-29278-13361	intact-miscore:0.35
uniprotkb:P57103	uniprotkb:Q8N6G5	intact:EBI-20825344|uniprotkb:Q5K3P6|uniprotkb:Q5K3P7|uniprotkb:Q8IUE9|uniprotkb:Q8IUF0|uniprotkb:Q8NFI7|uniprotkb:Q96QG1|uniprotkb:Q96QG2|ensembl:ENSP00000370669.2	intact:EBI-10267100|ensembl:ENSP00000363590.3|uniprotkb:Q9P1I6|uniprotkb:Q6MZJ5|uniprotkb:B3KWL7|uniprotkb:Q8TCH4|uniprotkb:Q6MZP6	"psi-mi:nac3_human(display_long)|uniprotkb:SLC8A3(gene name)|psi-mi:SLC8A3(display_short)|uniprotkb:NCX3(gene name synonym)|uniprotkb:""Na(+)/Ca(2+)-exchange protein 3""(gene name synonym)|uniprotkb:Solute carrier family 8 member 3(gene name synonym)"	psi-mi:cgat2_human(display_long)|uniprotkb:CSGALNACT2(gene name)|psi-mi:CSGALNACT2(display_short)|uniprotkb:CHGN2(gene name synonym)|uniprotkb:Chondroitin beta-1,4-N-acetylgalactosaminyltransferase 2(gene name synonym)|uniprotkb:GALNACT2(gene name synonym)|uniprotkb:PRO0082(orf name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54770104|imex:IM-29278-13361	intact-miscore:0.35
uniprotkb:P57103	uniprotkb:Q8TCT7	intact:EBI-20825344|uniprotkb:Q5K3P6|uniprotkb:Q5K3P7|uniprotkb:Q8IUE9|uniprotkb:Q8IUF0|uniprotkb:Q8NFI7|uniprotkb:Q96QG1|uniprotkb:Q96QG2|ensembl:ENSP00000370669.2	intact:EBI-2860382|uniprotkb:Q8IUH9|uniprotkb:O60365|uniprotkb:Q9P1Z6|uniprotkb:Q9BUY6|uniprotkb:Q9H3M4|uniprotkb:Q9NPN2|uniprotkb:Q567S3|uniprotkb:D6W609|ensembl:ENSP00000478298.1	"psi-mi:nac3_human(display_long)|uniprotkb:SLC8A3(gene name)|psi-mi:SLC8A3(display_short)|uniprotkb:NCX3(gene name synonym)|uniprotkb:""Na(+)/Ca(2+)-exchange protein 3""(gene name synonym)|uniprotkb:Solute carrier family 8 member 3(gene name synonym)"	psi-mi:spp2b_human(display_long)|uniprotkb:SPPL2B(gene name)|psi-mi:SPPL2B(display_short)|uniprotkb:IMP4(gene name synonym)|uniprotkb:KIAA1532(gene name synonym)|uniprotkb:PSL1(gene name synonym)|uniprotkb:Intramembrane protease 4(gene name synonym)|uniprotkb:Presenilin-like protein 1(gene name synonym)|uniprotkb:Presenilin homologous protein 4(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54770104|imex:IM-29278-13361	intact-miscore:0.35
uniprotkb:P57103	uniprotkb:Q99808	intact:EBI-20825344|uniprotkb:Q5K3P6|uniprotkb:Q5K3P7|uniprotkb:Q8IUE9|uniprotkb:Q8IUF0|uniprotkb:Q8NFI7|uniprotkb:Q96QG1|uniprotkb:Q96QG2|ensembl:ENSP00000370669.2	intact:EBI-347907|uniprotkb:Q5T9W9|uniprotkb:B3KQV7|uniprotkb:Q9UJY2|uniprotkb:B3KQY5|ensembl:ENSP00000360773.1|ensembl:ENSP00000360778.1|ensembl:ENSP00000360789.1|ensembl:ENSP00000360820.3|ensembl:ENSP00000377427.1|ensembl:ENSP00000498610.1|ensembl:ENSP00000498747.1|ensembl:ENSP00000499107.1	"psi-mi:nac3_human(display_long)|uniprotkb:SLC8A3(gene name)|psi-mi:SLC8A3(display_short)|uniprotkb:NCX3(gene name synonym)|uniprotkb:""Na(+)/Ca(2+)-exchange protein 3""(gene name synonym)|uniprotkb:Solute carrier family 8 member 3(gene name synonym)"	psi-mi:s29a1_human(display_long)|uniprotkb:SLC29A1(gene name)|psi-mi:SLC29A1(display_short)|uniprotkb:ENT1(gene name synonym)|uniprotkb:Equilibrative nitrobenzylmercaptopurine riboside-sensitive nucleoside transporter(gene name synonym)|uniprotkb:Nucleoside transporter, es-type(gene name synonym)|uniprotkb:Solute carrier family 29 member 1(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54770104|imex:IM-29278-13361	intact-miscore:0.35
uniprotkb:P57103	uniprotkb:Q9UPR5	intact:EBI-20825344|uniprotkb:Q5K3P6|uniprotkb:Q5K3P7|uniprotkb:Q8IUE9|uniprotkb:Q8IUF0|uniprotkb:Q8NFI7|uniprotkb:Q96QG1|uniprotkb:Q96QG2|ensembl:ENSP00000370669.2	intact:EBI-20807678|uniprotkb:B4DYQ9|ensembl:ENSP00000236877.5	"psi-mi:nac3_human(display_long)|uniprotkb:SLC8A3(gene name)|psi-mi:SLC8A3(display_short)|uniprotkb:NCX3(gene name synonym)|uniprotkb:""Na(+)/Ca(2+)-exchange protein 3""(gene name synonym)|uniprotkb:Solute carrier family 8 member 3(gene name synonym)"	"psi-mi:nac2_human(display_long)|uniprotkb:SLC8A2(gene name)|psi-mi:SLC8A2(display_short)|uniprotkb:KIAA1087(gene name synonym)|uniprotkb:NCX2(gene name synonym)|uniprotkb:""Na(+)/Ca(2+)-exchange protein 2""(gene name synonym)|uniprotkb:Solute carrier family 8 member 2(gene name synonym)"	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54770104|imex:IM-29278-13361	intact-miscore:0.35
uniprotkb:P57103	uniprotkb:P05090	intact:EBI-20825344|uniprotkb:Q5K3P6|uniprotkb:Q5K3P7|uniprotkb:Q8IUE9|uniprotkb:Q8IUF0|uniprotkb:Q8NFI7|uniprotkb:Q96QG1|uniprotkb:Q96QG2|ensembl:ENSP00000370669.2	intact:EBI-715495|uniprotkb:Q6IBG6|uniprotkb:B2R579|uniprotkb:D3DNW6|ensembl:ENSP00000345179.3	"psi-mi:nac3_human(display_long)|uniprotkb:SLC8A3(gene name)|psi-mi:SLC8A3(display_short)|uniprotkb:NCX3(gene name synonym)|uniprotkb:""Na(+)/Ca(2+)-exchange protein 3""(gene name synonym)|uniprotkb:Solute carrier family 8 member 3(gene name synonym)"	psi-mi:apod_human(display_long)|uniprotkb:APOD(gene name)|psi-mi:APOD(display_short)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54977708|imex:IM-29278-27143	intact-miscore:0.40
uniprotkb:Q9W512	uniprotkb:A1Z7I2	intact:EBI-185973	intact:EBI-178291	psi-mi:q9w512_drome(display_long)|uniprotkb:Dmel\CG17777(gene name)|psi-mi:Dmel\CG17777(display_short)|uniprotkb:CG17777(orf name)|uniprotkb:Dmel_CG17777(orf name)	psi-mi:a1z7i2_drome(display_long)|uniprotkb:Dmel\CG14743(gene name)|psi-mi:Dmel\CG14743(display_short)|uniprotkb:CG14743(orf name)|uniprotkb:Dmel_CG14743(orf name)	"psi-mi:""MI:0018""(two hybrid)"	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-239169|imex:IM-16524-9641	author score:0.47|author score:low|intact-miscore:0.37
uniprotkb:Q9V9V9	uniprotkb:Q9VDG5	intact:EBI-181109	intact:EBI-152965|uniprotkb:A0A0B4K6R7|uniprotkb:Q24413	psi-mi:nat9_drome(display_long)|uniprotkb:Mnat9(gene name)|psi-mi:Mnat9(display_short)|uniprotkb:Microtubule-associated Nat9(gene name synonym)|uniprotkb:CG11539(orf name)	psi-mi:nacx_drome(display_long)|uniprotkb:Calx(gene name)|psi-mi:Calx(display_short)|uniprotkb:9C5(gene name synonym)|uniprotkb:NCX(gene name synonym)|uniprotkb:anon-93ABa(gene name synonym)|uniprotkb:CG5685(orf name)|uniprotkb:Na/Ca-exchange protein(gene name synonym)	"psi-mi:""MI:0018""(two hybrid)"	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-215911|imex:IM-16524-4191	author score:0.23|author score:low|intact-miscore:0.37
uniprotkb:Q9W161	uniprotkb:Q9VDG5	intact:EBI-163441	intact:EBI-152965|uniprotkb:A0A0B4K6R7|uniprotkb:Q24413	"psi-mi:q9w161_drome(display_long)|uniprotkb:Dmel\CG13581(gene name)|psi-mi:Dmel\CG13581(display_short)|uniprotkb:""BcDNA:AT03240""(gene name synonym)|uniprotkb:CG13581-RA(gene name synonym)|uniprotkb:CG13581(orf name)|uniprotkb:Dmel_CG13581(orf name)"	psi-mi:nacx_drome(display_long)|uniprotkb:Calx(gene name)|psi-mi:Calx(display_short)|uniprotkb:9C5(gene name synonym)|uniprotkb:NCX(gene name synonym)|uniprotkb:anon-93ABa(gene name synonym)|uniprotkb:CG5685(orf name)|uniprotkb:Na/Ca-exchange protein(gene name synonym)	"psi-mi:""MI:0018""(two hybrid)"	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-231321|imex:IM-16524-7816	author score:0.25|author score:low|intact-miscore:0.37
uniprotkb:Q9VEW2	uniprotkb:Q9VDG5	intact:EBI-3417438|uniprotkb:B8A432|intact:EBI-3435792	intact:EBI-152965|uniprotkb:A0A0B4K6R7|uniprotkb:Q24413	psi-mi:serfl_drome(display_long)|uniprotkb:CG17931(orf name)	psi-mi:nacx_drome(display_long)|uniprotkb:Calx(gene name)|psi-mi:Calx(display_short)|uniprotkb:9C5(gene name synonym)|uniprotkb:NCX(gene name synonym)|uniprotkb:anon-93ABa(gene name synonym)|uniprotkb:CG5685(orf name)|uniprotkb:Na/Ca-exchange protein(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9931468|flannotator:CPTI-001330|imex:IM-16527-36	intact-miscore:0.35
uniprotkb:Q9VNF6	uniprotkb:A1ZAJ4	intact:EBI-180906	intact:EBI-3422008	psi-mi:q9vnf6_drome(display_long)|uniprotkb:MTA1-like(gene name)|psi-mi:MTA1-like(display_short)|uniprotkb:Dmel\CG2244(gene name synonym)|uniprotkb:MTA(gene name synonym)|uniprotkb:MTA-like(gene name synonym)|uniprotkb:MTA1(gene name synonym)|uniprotkb:dMTA(gene name synonym)|uniprotkb:dMTA-1(gene name synonym)|uniprotkb:dMTA1-like(gene name synonym)|uniprotkb:p120(gene name synonym)|uniprotkb:Dmel_CG2244(orf name)|uniprotkb:CG2244(orf name)|uniprotkb:MTA-1like(gene name synonym)	psi-mi:a1zaj4_drome(display_long)|uniprotkb:Dmel\CG5348(gene name)|psi-mi:Dmel\CG5348(display_short)|uniprotkb:CG5348(orf name)|uniprotkb:Dmel_CG5348(orf name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9932015|flannotator:CPTI-001342|imex:IM-16527-42	intact-miscore:0.35
uniprotkb:Q9V9V9	uniprotkb:Q9VDG5	intact:EBI-181109	intact:EBI-152965|uniprotkb:A0A0B4K6R7|uniprotkb:Q24413	psi-mi:nat9_drome(display_long)|uniprotkb:Mnat9(gene name)|psi-mi:Mnat9(display_short)|uniprotkb:Microtubule-associated Nat9(gene name synonym)|uniprotkb:CG11539(orf name)	psi-mi:nacx_drome(display_long)|uniprotkb:Calx(gene name)|psi-mi:Calx(display_short)|uniprotkb:9C5(gene name synonym)|uniprotkb:NCX(gene name synonym)|uniprotkb:anon-93ABa(gene name synonym)|uniprotkb:CG5685(orf name)|uniprotkb:Na/Ca-exchange protein(gene name synonym)	"psi-mi:""MI:0018""(two hybrid)"	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-215911|imex:IM-16524-4191	author score:0.23|author score:low|intact-miscore:0.37
uniprotkb:Q9W161	uniprotkb:Q9VDG5	intact:EBI-163441	intact:EBI-152965|uniprotkb:A0A0B4K6R7|uniprotkb:Q24413	"psi-mi:q9w161_drome(display_long)|uniprotkb:Dmel\CG13581(gene name)|psi-mi:Dmel\CG13581(display_short)|uniprotkb:""BcDNA:AT03240""(gene name synonym)|uniprotkb:CG13581-RA(gene name synonym)|uniprotkb:CG13581(orf name)|uniprotkb:Dmel_CG13581(orf name)"	psi-mi:nacx_drome(display_long)|uniprotkb:Calx(gene name)|psi-mi:Calx(display_short)|uniprotkb:9C5(gene name synonym)|uniprotkb:NCX(gene name synonym)|uniprotkb:anon-93ABa(gene name synonym)|uniprotkb:CG5685(orf name)|uniprotkb:Na/Ca-exchange protein(gene name synonym)	"psi-mi:""MI:0018""(two hybrid)"	Giot et al. (2003)	pubmed:14605208|imex:IM-16524|mint:MINT-5216804	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-231321|imex:IM-16524-7816	author score:0.25|author score:low|intact-miscore:0.37
uniprotkb:Q9VEW2	uniprotkb:Q9VDG5	intact:EBI-3417438|uniprotkb:B8A432|intact:EBI-3435792	intact:EBI-152965|uniprotkb:A0A0B4K6R7|uniprotkb:Q24413	psi-mi:serfl_drome(display_long)|uniprotkb:CG17931(orf name)	psi-mi:nacx_drome(display_long)|uniprotkb:Calx(gene name)|psi-mi:Calx(display_short)|uniprotkb:9C5(gene name synonym)|uniprotkb:NCX(gene name synonym)|uniprotkb:anon-93ABa(gene name synonym)|uniprotkb:CG5685(orf name)|uniprotkb:Na/Ca-exchange protein(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Lowe et al. (2014)	imex:IM-16527|pubmed:25294943	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"taxid:7227(drome)|taxid:7227(""Drosophila melanogaster (Fruit fly)"")"	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-9931468|flannotator:CPTI-001330|imex:IM-16527-36	intact-miscore:0.35
uniprotkb:F4JN35	uniprotkb:Q39254	intact:EBI-4426607|uniprotkb:O81790|uniprotkb:Q93ZN0	intact:EBI-1238729|uniprotkb:Q944Q1|uniprotkb:Q9LTT6	psi-mi:ntl9_arath(display_long)|uniprotkb:NTL9(gene name)|psi-mi:NTL9(display_short)|uniprotkb:CBNAC(gene name synonym)|uniprotkb:Calmodulin-binding NAC protein(gene name synonym)|uniprotkb:F8D20.90(orf name)|uniprotkb:At4g35580(locus name)	"psi-mi:cax2_arath(display_long)|uniprotkb:CAX2(gene name)|psi-mi:CAX2(display_short)|uniprotkb:""Ca(2+)/H(+) exchanger 2""(gene name synonym)|uniprotkb:""Ca(2+)/H(+) antiporter CAX2""(gene name synonym)|uniprotkb:Protein CATION EXCHANGER 2(gene name synonym)|uniprotkb:MDC11.10(orf name)|uniprotkb:MDC11.19(orf name)|uniprotkb:At3g13320(locus name)"	"psi-mi:""MI:0397""(two hybrid array)"	Arabidopsis et al. (2011)	pubmed:21798944|imex:IM-16043	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-4491336|imex:IM-16043-1167	intact-miscore:0.37
uniprotkb:P25854	uniprotkb:Q39254	intact:EBI-1235664|uniprotkb:Q03510|uniprotkb:Q9FJ05|uniprotkb:P0DH96|uniprotkb:P0DH95	intact:EBI-1238729|uniprotkb:Q944Q1|uniprotkb:Q9LTT6	psi-mi:calm1_arath(display_long)|uniprotkb:CAM1(gene name)|psi-mi:CAM1(display_short)|uniprotkb:At5g37780(locus name)|uniprotkb:K22F20.2(orf name)|uniprotkb:T31G3.3(orf name)|uniprotkb:CAM4(gene name)|psi-mi:CAM4(display_short)|uniprotkb:At1g66410(locus name)|uniprotkb:T27F4.1(orf name)|uniprotkb:F28G11.13(orf name)	"psi-mi:cax2_arath(display_long)|uniprotkb:CAX2(gene name)|psi-mi:CAX2(display_short)|uniprotkb:""Ca(2+)/H(+) exchanger 2""(gene name synonym)|uniprotkb:""Ca(2+)/H(+) antiporter CAX2""(gene name synonym)|uniprotkb:Protein CATION EXCHANGER 2(gene name synonym)|uniprotkb:MDC11.10(orf name)|uniprotkb:MDC11.19(orf name)|uniprotkb:At3g13320(locus name)"	"psi-mi:""MI:0089""(protein array)"	Popescu et al. (2007)	pubmed:17360592	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1242008	intact-miscore:0.44
uniprotkb:P59220	uniprotkb:Q39254	intact:EBI-1236031	intact:EBI-1238729|uniprotkb:Q944Q1|uniprotkb:Q9LTT6	psi-mi:calm7_arath(display_long)|uniprotkb:CAM7(gene name)|psi-mi:CAM7(display_short)|uniprotkb:T28A8.100(orf name)|uniprotkb:At3g43810(locus name)	"psi-mi:cax2_arath(display_long)|uniprotkb:CAX2(gene name)|psi-mi:CAX2(display_short)|uniprotkb:""Ca(2+)/H(+) exchanger 2""(gene name synonym)|uniprotkb:""Ca(2+)/H(+) antiporter CAX2""(gene name synonym)|uniprotkb:Protein CATION EXCHANGER 2(gene name synonym)|uniprotkb:MDC11.10(orf name)|uniprotkb:MDC11.19(orf name)|uniprotkb:At3g13320(locus name)"	"psi-mi:""MI:0089""(protein array)"	Popescu et al. (2007)	pubmed:17360592	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1243548	intact-miscore:0.44
uniprotkb:P30187	uniprotkb:Q39254	intact:EBI-1238722	intact:EBI-1238729|uniprotkb:Q944Q1|uniprotkb:Q9LTT6	psi-mi:cml10_arath(display_long)|uniprotkb:At2g41090(locus name)|uniprotkb:T3K9.14(orf name)|uniprotkb:CML10(gene name)|psi-mi:CML10(display_short)|uniprotkb:22 kDa calmodulin-like calcium-binding protein(gene name synonym)|uniprotkb:CABP-22(gene name synonym)	"psi-mi:cax2_arath(display_long)|uniprotkb:CAX2(gene name)|psi-mi:CAX2(display_short)|uniprotkb:""Ca(2+)/H(+) exchanger 2""(gene name synonym)|uniprotkb:""Ca(2+)/H(+) antiporter CAX2""(gene name synonym)|uniprotkb:Protein CATION EXCHANGER 2(gene name synonym)|uniprotkb:MDC11.10(orf name)|uniprotkb:MDC11.19(orf name)|uniprotkb:At3g13320(locus name)"	"psi-mi:""MI:0089""(protein array)"	Popescu et al. (2007)	pubmed:17360592	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1240692	intact-miscore:0.44
uniprotkb:P25071	uniprotkb:Q39254	intact:EBI-1238781|intact:EBI-1393394|uniprotkb:Q38972|uniprotkb:Q39064|uniprotkb:Q8H1A0	intact:EBI-1238729|uniprotkb:Q944Q1|uniprotkb:Q9LTT6	psi-mi:cml12_arath(display_long)|uniprotkb:At2g41100(locus name)|uniprotkb:CML12(gene name)|psi-mi:CML12(display_short)|uniprotkb:CAL4(gene name synonym)|uniprotkb:TCH3(gene name synonym)|uniprotkb:Touch-induced calmodulin-related protein 3(gene name synonym)|uniprotkb:T3K9.13(orf name)	"psi-mi:cax2_arath(display_long)|uniprotkb:CAX2(gene name)|psi-mi:CAX2(display_short)|uniprotkb:""Ca(2+)/H(+) exchanger 2""(gene name synonym)|uniprotkb:""Ca(2+)/H(+) antiporter CAX2""(gene name synonym)|uniprotkb:Protein CATION EXCHANGER 2(gene name synonym)|uniprotkb:MDC11.10(orf name)|uniprotkb:MDC11.19(orf name)|uniprotkb:At3g13320(locus name)"	"psi-mi:""MI:0089""(protein array)"	Popescu et al. (2007)	pubmed:17360592	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"taxid:3702(arath)|taxid:3702(""Arabidopsis thaliana (Mouse-ear cress)"")"	"psi-mi:""MI:0407""(direct interaction)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-1241378	intact-miscore:0.44
