idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:Q9BXP5	uniprotkb:Q14CN2	intact:EBI-712721|uniprotkb:A4D2E5|uniprotkb:A6NK22|uniprotkb:Q32MI4|uniprotkb:Q9Y4S4|uniprotkb:O95808|uniprotkb:Q9BWP6|uniprotkb:Q9BXP4|uniprotkb:A4D2E6|uniprotkb:B4DJL4|uniprotkb:B4DZA6|uniprotkb:Q6NT74|uniprotkb:Q8TDQ5|ensembl:ENSP00000480421.1	intact:EBI-20803439|uniprotkb:A8MQC9|uniprotkb:B7Z1Q5|uniprotkb:Q6UX81|uniprotkb:Q9UNF7|ensembl:ENSP00000359594.3	psi-mi:srrt_human(display_long)|uniprotkb:SRRT(gene name)|psi-mi:SRRT(display_short)|uniprotkb:ASR2(gene name synonym)|uniprotkb:ARS2(gene name synonym)|uniprotkb:Arsenite-resistance protein 2(gene name synonym)	psi-mi:clca4_human(display_long)|uniprotkb:CLCA4(gene name)|psi-mi:CLCA4(display_short)|uniprotkb:CaCC2(gene name synonym)|uniprotkb:Calcium-activated chloride channel family member 4(gene name synonym)|uniprotkb:Calcium-activated chloride channel protein 2(gene name synonym)|uniprotkb:Chloride channel accessory 4(gene name synonym)|uniprotkb:UNQ562/PRO1124(orf name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2021)	pubmed:33961781|imex:IM-29278|doi:10.1016/j.cell.2021.04.011	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-54548205|imex:IM-29278-1727	intact-miscore:0.35
uniprotkb:O00534	uniprotkb:Q9NRG1	intact:EBI-12246480|ensembl:ENSP00000376504.1|ensembl:ENSP00000407726.2|uniprotkb:Q6UN19|uniprotkb:Q6UN20|uniprotkb:Q9BVF8	intact:EBI-739759|uniprotkb:Q53HA7|uniprotkb:Q59EL9|uniprotkb:Q5VV18|uniprotkb:Q5VV20|uniprotkb:B7Z1Z3|ensembl:ENSP00000318602.5	psi-mi:vma5a_human(display_long)|uniprotkb:VWA5A(gene name)|psi-mi:VWA5A(display_short)|uniprotkb:BCSC1(gene name synonym)|uniprotkb:Breast cancer suppressor candidate 1(gene name synonym)|uniprotkb:LOH11CR2A(gene name synonym)|uniprotkb:Loss of heterozygosity 11 chromosomal region 2 gene A protein(gene name synonym)	psi-mi:prdc1_human(display_long)|uniprotkb:PRTFDC1(gene name)|psi-mi:PRTFDC1(display_short)|uniprotkb:HHGP(gene name synonym)	"psi-mi:""MI:0397""(two hybrid array)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-22929599|imex:IM-25472-33812	author score:0.880200692057|intact-miscore:0.56
uniprotkb:O00534	uniprotkb:Q96BD6	intact:EBI-12246480|ensembl:ENSP00000376504.1|ensembl:ENSP00000407726.2|uniprotkb:Q6UN19|uniprotkb:Q6UN20|uniprotkb:Q9BVF8	intact:EBI-2659201|uniprotkb:Q9BRY9|uniprotkb:Q59FA1|uniprotkb:Q5TIH9|uniprotkb:A2A275|uniprotkb:Q9H6C5|intact:EBI-28985495|ensembl:ENSP00000330221.6|ensembl:ENSP00000350573.3|ensembl:ENSP00000366616.2	psi-mi:vma5a_human(display_long)|uniprotkb:VWA5A(gene name)|psi-mi:VWA5A(display_short)|uniprotkb:BCSC1(gene name synonym)|uniprotkb:Breast cancer suppressor candidate 1(gene name synonym)|uniprotkb:LOH11CR2A(gene name synonym)|uniprotkb:Loss of heterozygosity 11 chromosomal region 2 gene A protein(gene name synonym)	psi-mi:spsb1_human(display_long)|uniprotkb:SSB1(gene name synonym)|uniprotkb:SPSB1(gene name)|psi-mi:SPSB1(display_short)	"psi-mi:""MI:1112""(two hybrid prey pooling approach)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-25205629|imex:IM-25472-87490	author score:0.746171585373|intact-miscore:0.56
uniprotkb:O00534	uniprotkb:Q96BD6	intact:EBI-12246480|ensembl:ENSP00000376504.1|ensembl:ENSP00000407726.2|uniprotkb:Q6UN19|uniprotkb:Q6UN20|uniprotkb:Q9BVF8	intact:EBI-2659201|uniprotkb:Q9BRY9|uniprotkb:Q59FA1|uniprotkb:Q5TIH9|uniprotkb:A2A275|uniprotkb:Q9H6C5|intact:EBI-28985495|ensembl:ENSP00000330221.6|ensembl:ENSP00000350573.3|ensembl:ENSP00000366616.2	psi-mi:vma5a_human(display_long)|uniprotkb:VWA5A(gene name)|psi-mi:VWA5A(display_short)|uniprotkb:BCSC1(gene name synonym)|uniprotkb:Breast cancer suppressor candidate 1(gene name synonym)|uniprotkb:LOH11CR2A(gene name synonym)|uniprotkb:Loss of heterozygosity 11 chromosomal region 2 gene A protein(gene name synonym)	psi-mi:spsb1_human(display_long)|uniprotkb:SSB1(gene name synonym)|uniprotkb:SPSB1(gene name)|psi-mi:SPSB1(display_short)	"psi-mi:""MI:1356""(validated two hybrid)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-24792653|imex:IM-25472-158595	intact-miscore:0.56
uniprotkb:O00534	uniprotkb:Q9NRG1	intact:EBI-12246480|ensembl:ENSP00000376504.1|ensembl:ENSP00000407726.2|uniprotkb:Q6UN19|uniprotkb:Q6UN20|uniprotkb:Q9BVF8	intact:EBI-739759|uniprotkb:Q53HA7|uniprotkb:Q59EL9|uniprotkb:Q5VV18|uniprotkb:Q5VV20|uniprotkb:B7Z1Z3|ensembl:ENSP00000318602.5	psi-mi:vma5a_human(display_long)|uniprotkb:VWA5A(gene name)|psi-mi:VWA5A(display_short)|uniprotkb:BCSC1(gene name synonym)|uniprotkb:Breast cancer suppressor candidate 1(gene name synonym)|uniprotkb:LOH11CR2A(gene name synonym)|uniprotkb:Loss of heterozygosity 11 chromosomal region 2 gene A protein(gene name synonym)	psi-mi:prdc1_human(display_long)|uniprotkb:PRTFDC1(gene name)|psi-mi:PRTFDC1(display_short)|uniprotkb:HHGP(gene name synonym)	"psi-mi:""MI:1356""(validated two hybrid)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-25252339|imex:IM-25472-119594	intact-miscore:0.56
uniprotkb:O00534	uniprotkb:Q96BD6	intact:EBI-12246480|ensembl:ENSP00000376504.1|ensembl:ENSP00000407726.2|uniprotkb:Q6UN19|uniprotkb:Q6UN20|uniprotkb:Q9BVF8	intact:EBI-2659201|uniprotkb:Q9BRY9|uniprotkb:Q59FA1|uniprotkb:Q5TIH9|uniprotkb:A2A275|uniprotkb:Q9H6C5|intact:EBI-28985495|ensembl:ENSP00000330221.6|ensembl:ENSP00000350573.3|ensembl:ENSP00000366616.2	psi-mi:vma5a_human(display_long)|uniprotkb:VWA5A(gene name)|psi-mi:VWA5A(display_short)|uniprotkb:BCSC1(gene name synonym)|uniprotkb:Breast cancer suppressor candidate 1(gene name synonym)|uniprotkb:LOH11CR2A(gene name synonym)|uniprotkb:Loss of heterozygosity 11 chromosomal region 2 gene A protein(gene name synonym)	psi-mi:spsb1_human(display_long)|uniprotkb:SSB1(gene name synonym)|uniprotkb:SPSB1(gene name)|psi-mi:SPSB1(display_short)	"psi-mi:""MI:0397""(two hybrid array)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-24189308|imex:IM-25472-105757	author score:0.746171585373|intact-miscore:0.56
intact:EBI-22617209	uniprotkb:O00534	-	intact:EBI-12246480|ensembl:ENSP00000376504.1|ensembl:ENSP00000407726.2|uniprotkb:Q6UN19|uniprotkb:Q6UN20|uniprotkb:Q9BVF8	"psi-mi:""ccsb orf id: 3513""(display_short)|psi-mi:EBI-22617209(display_long)"	psi-mi:vma5a_human(display_long)|uniprotkb:VWA5A(gene name)|psi-mi:VWA5A(display_short)|uniprotkb:BCSC1(gene name synonym)|uniprotkb:Breast cancer suppressor candidate 1(gene name synonym)|uniprotkb:LOH11CR2A(gene name synonym)|uniprotkb:Loss of heterozygosity 11 chromosomal region 2 gene A protein(gene name synonym)	"psi-mi:""MI:1356""(validated two hybrid)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-24511480|imex:IM-25472-133613	intact-miscore:0.56
uniprotkb:O00534	uniprotkb:Q6FHY5	intact:EBI-12246480|ensembl:ENSP00000376504.1|ensembl:ENSP00000407726.2|uniprotkb:Q6UN19|uniprotkb:Q6UN20|uniprotkb:Q9BVF8	intact:EBI-16439278	psi-mi:vma5a_human(display_long)|uniprotkb:VWA5A(gene name)|psi-mi:VWA5A(display_short)|uniprotkb:BCSC1(gene name synonym)|uniprotkb:Breast cancer suppressor candidate 1(gene name synonym)|uniprotkb:LOH11CR2A(gene name synonym)|uniprotkb:Loss of heterozygosity 11 chromosomal region 2 gene A protein(gene name synonym)	psi-mi:q6fhy5_human(display_long)|uniprotkb:MEOX2(gene name)|psi-mi:MEOX2(display_short)	"psi-mi:""MI:1356""(validated two hybrid)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-24435919|imex:IM-25472-126965	intact-miscore:0.56
uniprotkb:O00534	intact:EBI-22617209	intact:EBI-12246480|ensembl:ENSP00000376504.1|ensembl:ENSP00000407726.2|uniprotkb:Q6UN19|uniprotkb:Q6UN20|uniprotkb:Q9BVF8	-	psi-mi:vma5a_human(display_long)|uniprotkb:VWA5A(gene name)|psi-mi:VWA5A(display_short)|uniprotkb:BCSC1(gene name synonym)|uniprotkb:Breast cancer suppressor candidate 1(gene name synonym)|uniprotkb:LOH11CR2A(gene name synonym)|uniprotkb:Loss of heterozygosity 11 chromosomal region 2 gene A protein(gene name synonym)	"psi-mi:""ccsb orf id: 3513""(display_short)|psi-mi:EBI-22617209(display_long)"	"psi-mi:""MI:0397""(two hybrid array)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-23408045|imex:IM-25472-60588	author score:0.833801878772|intact-miscore:0.56
uniprotkb:O00534	intact:EBI-22617209	intact:EBI-12246480|ensembl:ENSP00000376504.1|ensembl:ENSP00000407726.2|uniprotkb:Q6UN19|uniprotkb:Q6UN20|uniprotkb:Q9BVF8	-	psi-mi:vma5a_human(display_long)|uniprotkb:VWA5A(gene name)|psi-mi:VWA5A(display_short)|uniprotkb:BCSC1(gene name synonym)|uniprotkb:Breast cancer suppressor candidate 1(gene name synonym)|uniprotkb:LOH11CR2A(gene name synonym)|uniprotkb:Loss of heterozygosity 11 chromosomal region 2 gene A protein(gene name synonym)	"psi-mi:""ccsb orf id: 3513""(display_short)|psi-mi:EBI-22617209(display_long)"	"psi-mi:""MI:1112""(two hybrid prey pooling approach)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-23182871|imex:IM-25472-47853	author score:0.833801878772|intact-miscore:0.56
uniprotkb:O00534	uniprotkb:Q9NRG1	intact:EBI-12246480|ensembl:ENSP00000376504.1|ensembl:ENSP00000407726.2|uniprotkb:Q6UN19|uniprotkb:Q6UN20|uniprotkb:Q9BVF8	intact:EBI-739759|uniprotkb:Q53HA7|uniprotkb:Q59EL9|uniprotkb:Q5VV18|uniprotkb:Q5VV20|uniprotkb:B7Z1Z3|ensembl:ENSP00000318602.5	psi-mi:vma5a_human(display_long)|uniprotkb:VWA5A(gene name)|psi-mi:VWA5A(display_short)|uniprotkb:BCSC1(gene name synonym)|uniprotkb:Breast cancer suppressor candidate 1(gene name synonym)|uniprotkb:LOH11CR2A(gene name synonym)|uniprotkb:Loss of heterozygosity 11 chromosomal region 2 gene A protein(gene name synonym)	psi-mi:prdc1_human(display_long)|uniprotkb:PRTFDC1(gene name)|psi-mi:PRTFDC1(display_short)|uniprotkb:HHGP(gene name synonym)	"psi-mi:""MI:1112""(two hybrid prey pooling approach)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-22473161|imex:IM-25472-8864	author score:0.880200692057|intact-miscore:0.56
uniprotkb:O00534	uniprotkb:Q6FHY5	intact:EBI-12246480|ensembl:ENSP00000376504.1|ensembl:ENSP00000407726.2|uniprotkb:Q6UN19|uniprotkb:Q6UN20|uniprotkb:Q9BVF8	intact:EBI-16439278	psi-mi:vma5a_human(display_long)|uniprotkb:VWA5A(gene name)|psi-mi:VWA5A(display_short)|uniprotkb:BCSC1(gene name synonym)|uniprotkb:Breast cancer suppressor candidate 1(gene name synonym)|uniprotkb:LOH11CR2A(gene name synonym)|uniprotkb:Loss of heterozygosity 11 chromosomal region 2 gene A protein(gene name synonym)	psi-mi:q6fhy5_human(display_long)|uniprotkb:MEOX2(gene name)|psi-mi:MEOX2(display_short)	"psi-mi:""MI:1112""(two hybrid prey pooling approach)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-24932221|imex:IM-25472-16301	author score:0.903978383772|intact-miscore:0.56
uniprotkb:O00534	uniprotkb:Q6FHY5	intact:EBI-12246480|ensembl:ENSP00000376504.1|ensembl:ENSP00000407726.2|uniprotkb:Q6UN19|uniprotkb:Q6UN20|uniprotkb:Q9BVF8	intact:EBI-16439278	psi-mi:vma5a_human(display_long)|uniprotkb:VWA5A(gene name)|psi-mi:VWA5A(display_short)|uniprotkb:BCSC1(gene name synonym)|uniprotkb:Breast cancer suppressor candidate 1(gene name synonym)|uniprotkb:LOH11CR2A(gene name synonym)|uniprotkb:Loss of heterozygosity 11 chromosomal region 2 gene A protein(gene name synonym)	psi-mi:q6fhy5_human(display_long)|uniprotkb:MEOX2(gene name)|psi-mi:MEOX2(display_short)	"psi-mi:""MI:0397""(two hybrid array)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-23064465|imex:IM-25472-41185	author score:0.903978383772|intact-miscore:0.56
