idA	idB	altIdsA	altIdsB	aliasesA	aliasesB	detectionMethod	firstAuthor	publicationIdentifiers	taxidA	taxidB	interactionType	sourceDatabase	interactionIdentifiers	confidence
uniprotkb:Q6PF06	uniprotkb:O00470	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-1210694|uniprotkb:A8MV50|ensembl:ENSP00000272369.8	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:meis1_human(display_long)|uniprotkb:MEIS1(gene name)|psi-mi:MEIS1(display_short)	"psi-mi:""MI:0397""(two hybrid array)"	Wang et al. (2011)	imex:IM-15364|pubmed:21988832	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-3923389|imex:IM-15364-1614	intact-miscore:0.37
uniprotkb:Q6PF06	uniprotkb:P06748	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-78579|uniprotkb:P08693|uniprotkb:Q12826|uniprotkb:Q13440|uniprotkb:Q13441|uniprotkb:Q14115|uniprotkb:Q5EU94|uniprotkb:Q5EU95|uniprotkb:Q5EU96|uniprotkb:Q5EU97|uniprotkb:Q5EU98|uniprotkb:Q5EU99|uniprotkb:Q6V962|uniprotkb:Q8WTW5|uniprotkb:Q96AT6|uniprotkb:Q96DC4|uniprotkb:Q96EA5|uniprotkb:A8K3N7|uniprotkb:B5BU00|uniprotkb:Q9UDJ7|uniprotkb:D3DQL6|uniprotkb:Q9BYG9|ensembl:ENSP00000296930.5|ensembl:ENSP00000428755.1	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:npm_human(display_long)|uniprotkb:NPM1(gene name)|psi-mi:NPM1(display_short)|uniprotkb:NPM(gene name synonym)|uniprotkb:Nucleolar phosphoprotein B23(gene name synonym)|uniprotkb:Numatrin(gene name synonym)|uniprotkb:Nucleolar protein NO38(gene name synonym)	"psi-mi:""MI:0030""(cross-linking study)"	Fasci et al. (2018)	pubmed:30021884|imex:IM-26653|doi:10.1074/mcp.ra118.000924	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-20927856|imex:IM-26653-1639	intact-miscore:0.40
uniprotkb:P32243-2	uniprotkb:Q6PF06	intact:EBI-9087860|ensembl:ENSP00000451357.2|ensembl:ENSP00000500115.1|ensembl:ENSP00000500595.1	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	psi-mi:p32243-2(display_long)|uniprotkb:Orthodenticle homolog 2(gene name synonym)|uniprotkb:OTX2(gene name)|psi-mi:OTX2(display_short)	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	"psi-mi:""MI:1356""(validated two hybrid)"	Luck et al. (2017)	pubmed:32296183|imex:IM-25472	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0915""(physical association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-24573028|imex:IM-25472-139195	intact-miscore:0.56
uniprotkb:Q6PF06	uniprotkb:O60783	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-1045956|uniprotkb:Q5R358|ensembl:ENSP00000420714.1	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:rt14_human(display_long)|uniprotkb:MRPS14(gene name)|psi-mi:MRPS14(display_short)|uniprotkb:28S ribosomal protein S14, mitochondrial(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21778951|imex:IM-25778-1871	intact-miscore:0.53
uniprotkb:Q6PF06	uniprotkb:P26022	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-11574553|uniprotkb:B2R6T6|uniprotkb:Q38M82|ensembl:ENSP00000295927.3	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:ptx3_human(display_long)|uniprotkb:Pentaxin-related protein PTX3(gene name synonym)|uniprotkb:TNFAIP5(gene name synonym)|uniprotkb:TSG14(gene name synonym)|uniprotkb:Tumor necrosis factor alpha-induced protein 5(gene name synonym)|uniprotkb:Tumor necrosis factor-inducible gene 14 protein(gene name synonym)|uniprotkb:PTX3(gene name)|psi-mi:PTX3(display_short)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21778951|imex:IM-25778-1871	intact-miscore:0.35
uniprotkb:Q6PF06	uniprotkb:P51398	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-355912|uniprotkb:Q13044|uniprotkb:Q96Q20|uniprotkb:Q68CT7|uniprotkb:B4DP59|uniprotkb:E7EM60|uniprotkb:B4DY62|ensembl:ENSP00000341692.3|ensembl:ENSP00000357320.5	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:rt29_human(display_long)|uniprotkb:DAP3(gene name)|psi-mi:DAP3(display_short)|uniprotkb:MRPS29(gene name synonym)|uniprotkb:Death-associated protein 3(gene name synonym)|uniprotkb:Ionizing radiation resistance conferring protein(gene name synonym)|uniprotkb:28S ribosomal protein S29, mitochondrial(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21778951|imex:IM-25778-1871	intact-miscore:0.53
uniprotkb:Q6PF06	uniprotkb:P82663	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-1046734|uniprotkb:Q9H7P5|uniprotkb:B4DFJ5|uniprotkb:B4DQG6|ensembl:ENSP00000253686.2|ensembl:ENSP00000511812.1|ensembl:ENSP00000511849.1|ensembl:ENSP00000511852.1|ensembl:ENSP00000511853.1|ensembl:ENSP00000511855.1|ensembl:ENSP00000511856.1|ensembl:ENSP00000511860.1|ensembl:ENSP00000511862.1|ensembl:ENSP00000511863.1|ensembl:ENSP00000511867.1|ensembl:ENSP00000511868.1|ensembl:ENSP00000511870.1|ensembl:ENSP00000513929.1|ensembl:ENSP00000513930.1	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:rt25_human(display_long)|uniprotkb:MRPS25(gene name)|psi-mi:MRPS25(display_short)|uniprotkb:RPMS25(gene name synonym)|uniprotkb:28S ribosomal protein S25, mitochondrial(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21778951|imex:IM-25778-1871	intact-miscore:0.53
uniprotkb:Q6PF06	uniprotkb:P82664	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-1048271|uniprotkb:Q9H3E5|uniprotkb:Q9NVR3|uniprotkb:B2RE89|ensembl:ENSP00000053468.3|intact:EBI-21355768	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:rt10_human(display_long)|uniprotkb:MRPS10(gene name)|psi-mi:MRPS10(display_short)|uniprotkb:28S ribosomal protein S10, mitochondrial(gene name synonym)|uniprotkb:MSTP040(orf name)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21778951|imex:IM-25778-1871	intact-miscore:0.53
uniprotkb:Q6PF06	uniprotkb:P82673-2	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-21521816|ensembl:ENSP00000445390.1	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:p82673-2(display_long)|uniprotkb:MRPS35(gene name)|psi-mi:MRPS35(display_short)|uniprotkb:MRPS28(gene name synonym)|uniprotkb:28S ribosomal protein S28, mitochondrial(gene name synonym)|uniprotkb:HDCMD11P(orf name)|uniprotkb:MDS023(orf name)|uniprotkb:PSEC0213(orf name)|uniprotkb:28S ribosomal protein S35, mitochondrial(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21778951|imex:IM-25778-1871	intact-miscore:0.35
uniprotkb:Q6PF06	uniprotkb:P82675	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-1054287|uniprotkb:Q96LJ6|uniprotkb:Q9BWI4|uniprotkb:Q9BYC4|uniprotkb:Q4ZFY5|ensembl:ENSP00000272418.2	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:rt05_human(display_long)|uniprotkb:MRPS5(gene name)|psi-mi:MRPS5(display_short)|uniprotkb:28S ribosomal protein S5, mitochondrial(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21778951|imex:IM-25778-1871	intact-miscore:0.53
uniprotkb:Q6PF06	uniprotkb:P82912-2	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-11129860	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:p82912-2(display_long)|uniprotkb:MRPS11(gene name)|psi-mi:MRPS11(display_short)|uniprotkb:Cervical cancer proto-oncogene 2 protein(gene name synonym)|uniprotkb:RPMS11(gene name synonym)|uniprotkb:HCC2(orf name)|uniprotkb:28S ribosomal protein S11, mitochondrial(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21778951|imex:IM-25778-1871	intact-miscore:0.35
uniprotkb:Q6PF06	uniprotkb:P82914	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-2880040|uniprotkb:Q9H2K1|uniprotkb:B2RD82|ensembl:ENSP00000362208.5	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:rt15_human(display_long)|uniprotkb:MRPS15(gene name)|psi-mi:MRPS15(display_short)|uniprotkb:RPMS15(gene name synonym)|uniprotkb:DC37(orf name)|uniprotkb:28S ribosomal protein S15, mitochondrial(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21778951|imex:IM-25778-1871	intact-miscore:0.53
uniprotkb:Q6PF06	uniprotkb:P82921	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-2372155|ensembl:ENSP00000461930.1|ensembl:ENSP00000480129.1|uniprotkb:Q9BST6|uniprotkb:Q5TB11|uniprotkb:A0A075B746	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:rt21_human(display_long)|uniprotkb:MRPS21(gene name)|psi-mi:MRPS21(display_short)|uniprotkb:RPMS21(gene name synonym)|uniprotkb:MDS016(orf name)|uniprotkb:28S ribosomal protein S21, mitochondrial(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21778951|imex:IM-25778-1871	intact-miscore:0.53
uniprotkb:Q6PF06	uniprotkb:P82930	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-1048516|uniprotkb:Q9BVI7|ensembl:ENSP00000380531.3	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:rt34_human(display_long)|uniprotkb:MRPS34(gene name)|psi-mi:MRPS34(display_short)|uniprotkb:28S ribosomal protein S34, mitochondrial(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21778951|imex:IM-25778-1871	intact-miscore:0.53
uniprotkb:Q6PF06	uniprotkb:P82933	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-721385|intact:EBI-1049991|uniprotkb:Q6PG40|ensembl:ENSP00000258455.3	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:rt09_human(display_long)|uniprotkb:MRPS9(gene name)|psi-mi:MRPS9(display_short)|uniprotkb:RPMS9(gene name synonym)|uniprotkb:28S ribosomal protein S9, mitochondrial(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21778951|imex:IM-25778-1871	intact-miscore:0.53
uniprotkb:Q6PF06	uniprotkb:Q8NC60	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-717871|uniprotkb:Q8N7L6|uniprotkb:Q9BSQ9|ensembl:ENSP00000264230.4	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:noa1_human(display_long)|uniprotkb:NOA1(gene name)|psi-mi:NOA1(display_short)|uniprotkb:C4orf14(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21778951|imex:IM-25778-1871	intact-miscore:0.53
uniprotkb:Q6PF06	uniprotkb:Q92552	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-2211879|uniprotkb:Q6P1S1|uniprotkb:B4DRT2|ensembl:ENSP00000261413.5|ensembl:ENSP00000511631.1|ensembl:ENSP00000511632.1	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:rt27_human(display_long)|uniprotkb:MRPS27(gene name)|psi-mi:MRPS27(display_short)|uniprotkb:KIAA0264(gene name synonym)|uniprotkb:Mitochondrial ribosomal protein S27(gene name synonym)|uniprotkb:28S ribosomal protein S27, mitochondrial(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21778951|imex:IM-25778-1871	intact-miscore:0.53
uniprotkb:Q6PF06	uniprotkb:Q92665	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-720602|uniprotkb:Q8WTV8|uniprotkb:Q5VYC8|uniprotkb:B2RCS3|ensembl:ENSP00000315397.6	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:rt31_human(display_long)|uniprotkb:Imogen 38(gene name synonym)|uniprotkb:MRPS31(gene name)|psi-mi:MRPS31(display_short)|uniprotkb:IMOGN38(gene name synonym)|uniprotkb:28S ribosomal protein S31, mitochondrial(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21778951|imex:IM-25778-1871	intact-miscore:0.53
uniprotkb:Q6PF06	uniprotkb:Q96EL2	intact:EBI-3923391|uniprotkb:Q96N36|uniprotkb:Q05DJ4|uniprotkb:Q8NAG2|uniprotkb:Q5QP83|ensembl:ENSP00000297994.3|uniprotkb:B7Z216|uniprotkb:B7Z3D3	intact:EBI-1055789|uniprotkb:P82668|uniprotkb:Q96Q23|uniprotkb:Q9P047|uniprotkb:A4D1U9|ensembl:ENSP00000318158.5	"psi-mi:tm10b_human(display_long)|uniprotkb:TRMT10B(gene name)|psi-mi:TRMT10B(display_short)|uniprotkb:RG9MTD3(gene name synonym)|uniprotkb:""RNA (guanine-9-)-methyltransferase domain-containing protein 3""(gene name synonym)|uniprotkb:""tRNA (guanine(9)-N(1))-methyltransferase TRMT10B""(gene name synonym)"	psi-mi:rt24_human(display_long)|uniprotkb:bMRP-47(gene name synonym)|uniprotkb:MRPS24(gene name)|psi-mi:MRPS24(display_short)|uniprotkb:HSPC335(orf name)|uniprotkb:28S ribosomal protein S24, mitochondrial(gene name synonym)	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	"psi-mi:""MI:0914""(association)"	"psi-mi:""MI:0469""(IntAct)"	intact:EBI-21778951|imex:IM-25778-1871	intact-miscore:0.53
