# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P0A873	uniprotkb:P0A873	uniprotkb:P07020|intact:EBI-1129132|uniprotkb:P0A873	uniprotkb:P07020|intact:EBI-1129132|uniprotkb:P0A873	psi-mi:trmd_ecoli(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:b2607(locus name)|uniprotkb:JW2588(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:trmd_ecoli(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:b2607(locus name)|uniprotkb:JW2588(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Rajagopala S.V. et al.(2012)	intact:EBI-6389808|pubmed:22841565|imex:IM-18008	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-6390603|imex:IM-18008-6	intact-miscore:0.55
uniprotkb:Q9PPJ4	uniprotkb:Q9PPJ4	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1357718	intact-miscore:0.37|author-based confidence:0.93
uniprotkb:P0A873	uniprotkb:P0A873	uniprotkb:P07020|intact:EBI-1129132|uniprotkb:P0A873	uniprotkb:P07020|intact:EBI-1129132|uniprotkb:P0A873	psi-mi:trmd_ecoli(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:b2607(locus name)|uniprotkb:JW2588(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)|IntAct:b2607(author assigned name)|IntAct:JW2588(author assigned name)	psi-mi:trmd_ecoli(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:b2607(locus name)|uniprotkb:JW2588(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)|IntAct:b2607(author assigned name)|IntAct:JW2588(author assigned name)	psi-mi:"MI:0397"(two hybrid array)	Rajagopala S.V. et al.(2014)	intact:EBI-9119531|pubmed:24561554|imex:IM-22059	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-9170479|imex:IM-22059-403	intact-miscore:0.55
uniprotkb:P0A873	uniprotkb:P0A873	uniprotkb:P07020|intact:EBI-1129132|uniprotkb:P0A873	uniprotkb:P07020|intact:EBI-1129132|uniprotkb:P0A873	psi-mi:trmd_ecoli(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:b2607(locus name)|uniprotkb:JW2588(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)|IntAct:b2607(author assigned name)|IntAct:JW2588(author assigned name)	psi-mi:trmd_ecoli(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:b2607(locus name)|uniprotkb:JW2588(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)|IntAct:b2607(author assigned name)|IntAct:JW2588(author assigned name)	psi-mi:"MI:0397"(two hybrid array)	Rajagopala S.V. et al.(2014)	intact:EBI-9119531|pubmed:24561554|imex:IM-22059	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-9170496|imex:IM-22059-404	intact-miscore:0.55
uniprotkb:Q8N1G0	uniprotkb:Q8ZBU9	uniprotkb:Q68DQ8|uniprotkb:Q9H937|uniprotkb:Q9P2A7|uniprotkb:D3DV17|ensembl:ENSP00000319829.5|ensembl:ENSP00000336620.5|intact:EBI-1210558|uniprotkb:Q8N1G0	uniprotkb:Q8ZBU9|intact:EBI-2849165|uniprotkb:Q8CWH8|uniprotkb:Q0WBZ9	psi-mi:zn687_human(display_short)|psi-mi:Zinc finger protein 687(display_long)|uniprotkb:ZNF687(gene name)|uniprotkb:KIAA1441(gene name synonym)|IntAct:ZN687_HUMAN(author assigned name)	psi-mi:trmd_yerpe(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:trmD(gene name)|uniprotkb:YP_0393(locus name)|uniprotkb:y0896(locus name)|uniprotkb:YPO3293(locus name)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|IntAct:TRMD_YERPE(author assigned name)	psi-mi:"MI:0398"(two hybrid pooling approach)	Dyer MD. et al.(2010)	intact:EBI-2696919|pubmed:20711500|imex:IM-13779	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:632(yerpe)|taxid:632(Yersinia pestis)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2849162|imex:IM-13779-5329	intact-miscore:0.37|author-based confidence:1
uniprotkb:Q8ZBU9	uniprotkb:Q9Y2H6	uniprotkb:Q8ZBU9|intact:EBI-2849165|uniprotkb:Q8CWH8|uniprotkb:Q0WBZ9	uniprotkb:Q6EVH4|uniprotkb:Q6N020|uniprotkb:B4DYG1|uniprotkb:Q5JVF8|uniprotkb:Q5HYC9|uniprotkb:Q6ZME4|uniprotkb:Q6P9D5|uniprotkb:Q6EVH3|uniprotkb:Q5JVF9|uniprotkb:Q9H1W1|ensembl:ENSP00000417257.1|ensembl:ENSP00000441831.1|intact:EBI-2810266|uniprotkb:Q9Y2H6	psi-mi:trmd_yerpe(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:trmD(gene name)|uniprotkb:YP_0393(locus name)|uniprotkb:y0896(locus name)|uniprotkb:YPO3293(locus name)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|IntAct:TRMD_YERPE(author assigned name)	psi-mi:fnd3a_human(display_short)|psi-mi:Fibronectin type-III domain-containing protein 3A(display_long)|uniprotkb:FNDC3A(gene name)|uniprotkb:Human gene expressed in odontoblasts(gene name synonym)|uniprotkb:KIAA0970(gene name synonym)|uniprotkb:HUGO(gene name synonym)|uniprotkb:FNDC3(gene name synonym)|IntAct:FND3A_HUMAN(author assigned name)	psi-mi:"MI:0398"(two hybrid pooling approach)	Dyer MD. et al.(2010)	intact:EBI-2696919|pubmed:20711500|imex:IM-13779	taxid:632(yerpe)|taxid:632(Yersinia pestis)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2869660|imex:IM-13779-7599	intact-miscore:0.37|author-based confidence:1
uniprotkb:O25939	uniprotkb:O25766	uniprotkb:O25939|intact:EBI-9266334	intact:MINT-179982|intact:EBI-7612675|uniprotkb:O25766	psi-mi:o25939_helpy(display_short)|uniprotkb:HP_1389(locus name)|IntAct:HP_1389(author assigned name)	psi-mi:trmd_helpy(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:HP_1148(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)|IntAct:trmD HP_1148(author assigned name)	psi-mi:"MI:0397"(two hybrid array)	Häuser R. et al.(2014)	intact:EBI-9256606|pubmed:24627523|imex:IM-22256	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-9326851|imex:IM-22256-564	intact-miscore:0.37|author-based confidence:B
uniprotkb:O25939	uniprotkb:O25766	uniprotkb:O25939|intact:EBI-9266334	intact:MINT-179982|intact:EBI-7612675|uniprotkb:O25766	psi-mi:o25939_helpy(display_short)|uniprotkb:HP_1389(locus name)|IntAct:HP_1389(author assigned name)	psi-mi:trmd_helpy(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:HP_1148(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)|IntAct:trmD HP_1148(author assigned name)	psi-mi:"MI:0397"(two hybrid array)	Häuser R. et al.(2014)	intact:EBI-9256606|pubmed:24627523|imex:IM-22256	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-9338289|imex:IM-22256-1198	intact-miscore:0.37|author-based confidence:B
uniprotkb:O31741	uniprotkb:O31863	uniprotkb:O31741|intact:EBI-5255158	intact:EBI-5250486|uniprotkb:O31863	psi-mi:trmd_bacsu(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:trmD(gene name)|uniprotkb:BSU16030(locus name)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|IntAct:BSU16030(author assigned name)|IntAct:TrmD(author assigned name)	psi-mi:yozd_bacsu(display_short)|psi-mi:Uncharacterized protein YozD(display_long)|uniprotkb:BSU19660(locus name)|uniprotkb:yozD(gene name)|IntAct:YozD(author assigned name)|IntAct:BSU19660(author assigned name)	psi-mi:"MI:0018"(two hybrid)	Marchadier E. et al.(2011)	intact:EBI-4408675|pubmed:21630458|imex:IM-16574	taxid:224308(bacsu)|taxid:224308(Bacillus subtilis)	taxid:224308(bacsu)|taxid:224308(Bacillus subtilis)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-5255162|imex:IM-16574-696	intact-miscore:0.37|author-based confidence:0.321
uniprotkb:O25766	uniprotkb:O25979	intact:MINT-179982|intact:EBI-7612675|uniprotkb:O25766	intact:MINT-185606|intact:EBI-7493621|uniprotkb:O25979	psi-mi:trmd_helpy(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:HP_1148(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)|IntAct:trmD HP_1148(author assigned name)	psi-mi:o25979_helpy(display_short)|uniprotkb:HP_1438(locus name)|IntAct:HP_1438(author assigned name)	psi-mi:"MI:0397"(two hybrid array)	Häuser R. et al.(2014)	intact:EBI-9256606|pubmed:24627523|imex:IM-22256	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-9338505|imex:IM-22256-1210	intact-miscore:0.37|author-based confidence:B
uniprotkb:O25979	uniprotkb:O25766	intact:MINT-185606|intact:EBI-7493621|uniprotkb:O25979	intact:MINT-179982|intact:EBI-7612675|uniprotkb:O25766	psi-mi:o25979_helpy(display_short)|uniprotkb:HP_1438(locus name)|IntAct:HP_1438(author assigned name)	psi-mi:trmd_helpy(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:HP_1148(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)|IntAct:trmD HP_1148(author assigned name)	psi-mi:"MI:0397"(two hybrid array)	Häuser R. et al.(2014)	intact:EBI-9256606|pubmed:24627523|imex:IM-22256	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-9327409|imex:IM-22256-595	intact-miscore:0.37|author-based confidence:B
uniprotkb:O25338	uniprotkb:O25766	intact:MINT-162121|intact:EBI-7494589|uniprotkb:O25338	intact:MINT-179982|intact:EBI-7612675|uniprotkb:O25766	psi-mi:muts2_helpy(display_short)|psi-mi:Endonuclease MutS2(display_long)|uniprotkb:mutSB(gene name synonym)|uniprotkb:Ribosome-associated protein quality control-upstream factor(gene name synonym)|uniprotkb:rqcU(gene name synonym)|uniprotkb:HP_0621(locus name)|uniprotkb:mutS2(gene name)|IntAct:mutSB mutS2 HP_0621(author assigned name)	psi-mi:trmd_helpy(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:HP_1148(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)|IntAct:trmD HP_1148(author assigned name)	psi-mi:"MI:0397"(two hybrid array)	Häuser R. et al.(2014)	intact:EBI-9256606|pubmed:24627523|imex:IM-22256	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-9321381|imex:IM-22256-261	intact-miscore:0.37|author-based confidence:A
uniprotkb:O25834	uniprotkb:O25766	uniprotkb:O25834|intact:EBI-7501728|intact:MINT-164014	intact:MINT-179982|intact:EBI-7612675|uniprotkb:O25766	psi-mi:o25834_helpy(display_short)|psi-mi:Competence protein(display_long)|uniprotkb:HP_1236(locus name)	psi-mi:trmd_helpy(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:HP_1148(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0018"(two hybrid)	Rain JC. et al.(2001)	intact:EBI-7492906|doi:10.1038/35051615|mint:MINT-445765|mint:MINT-5213541|pubmed:11196647	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	taxid:85962(helpy)|taxid:85962(Helicobacter pylori)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-7612669|mint:MINT-4070682	intact-miscore:0.37
uniprotkb:Q72DU3	uniprotkb:Q72FB7	uniprotkb:Q72DU3|intact:EBI-10069213	uniprotkb:Q72FB7|intact:EBI-10070463	psi-mi:trmd_nitv2(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:trmD(gene name)|uniprotkb:DVU_0836(locus name)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:DVU0836(locus name)	psi-mi:q72fb7_nitv2(display_short)|psi-mi:DUF4911 domain-containing protein(display_long)|uniprotkb:DVU_0297(locus name)|uniprotkb:DVU0297(locus name)	psi-mi:"MI:0676"(tandem affinity purification)	Shatsky M. et al.(2016)	intact:EBI-9634266|pubmed:26873250|imex:IM-22740	taxid:882(desvh)|taxid:882("Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)")	taxid:882(desvh)|taxid:882("Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-10070460|imex:IM-22740-302	intact-miscore:0.5
uniprotkb:Q72DU3	uniprotkb:Q72FB7	uniprotkb:Q72DU3|intact:EBI-10069213	uniprotkb:Q72FB7|intact:EBI-10070463	psi-mi:trmd_nitv2(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:trmD(gene name)|uniprotkb:DVU_0836(locus name)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:DVU0836(locus name)	psi-mi:q72fb7_nitv2(display_short)|psi-mi:DUF4911 domain-containing protein(display_long)|uniprotkb:DVU_0297(locus name)|uniprotkb:DVU0297(locus name)	psi-mi:"MI:0676"(tandem affinity purification)	Shatsky M. et al.(2016)	intact:EBI-9634266|pubmed:26873250|imex:IM-22740	taxid:882(desvh)|taxid:882("Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)")	taxid:882(desvh)|taxid:882("Desulfovibrio vulgaris (strain Hildenborough / ATCC 29579 / NCIMB 8303)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-10070480|imex:IM-22740-303	intact-miscore:0.5
uniprotkb:Q9PML1	uniprotkb:Q9PPJ4	uniprotkb:Q0P8G6|intact:EBI-1327839|uniprotkb:Q9PML1	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:y1449_camje(display_short)|psi-mi:UPF0306 protein Cj1449c(display_long)|uniprotkb:Cj1449c(locus name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1362245	intact-miscore:0.37|author-based confidence:0.20
uniprotkb:Q0PBX4	uniprotkb:Q9PPJ4	intact:EBI-1191393|uniprotkb:Q0PBX4	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:q0pbx4_camje(display_short)|uniprotkb:Cj0163c(locus name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1362329	intact-miscore:0.37|author-based confidence:0.16
uniprotkb:Q9PPJ4	uniprotkb:Q0P9P8	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	intact:EBI-1191376|uniprotkb:Q0P9P8	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:q0p9p8_camje(display_short)|uniprotkb:Cj1004(locus name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1361498	intact-miscore:0.37|author-based confidence:0.98
uniprotkb:Q0P8S6	uniprotkb:Q9PPJ4	intact:EBI-1328624|uniprotkb:Q0P8S6	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:q0p8s6_camje(display_short)|uniprotkb:Cj1332(locus name)|uniprotkb:PTMA(gene name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1357859	intact-miscore:0.37|author-based confidence:0.18
uniprotkb:Q0P7W3	uniprotkb:Q9PPJ4	intact:EBI-1331982|uniprotkb:Q0P7W3	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:q0p7w3_camje(display_short)|uniprotkb:Cj1666c(locus name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1358855	intact-miscore:0.37|author-based confidence:0.97
uniprotkb:Q0PAH6	uniprotkb:Q9PPJ4	intact:EBI-1331049|uniprotkb:Q0PAH6	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:q0pah6_camje(display_short)|psi-mi:DUF3972 domain-containing protein(display_long)|uniprotkb:Cj0703(locus name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1355975	intact-miscore:0.37|author-based confidence:0.14
uniprotkb:Q0PAF4	uniprotkb:Q9PPJ4	intact:EBI-1328646|uniprotkb:Q0PAF4	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:q0paf4_camje(display_short)|psi-mi:Molybdopterin adenylyltransferase(display_long)|uniprotkb:Cj0725c(locus name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1355996	intact-miscore:0.37|author-based confidence:0.13
uniprotkb:Q0P9X9	uniprotkb:Q9PPJ4	intact:EBI-1192333|uniprotkb:Q0P9X9	uniprotkb:Q0PAG6|intact:EBI-1329123|uniprotkb:Q9PPJ4	psi-mi:q0p9x9_camje(display_short)|uniprotkb:Cj0920c(locus name)	psi-mi:trmd_camje(display_short)|psi-mi:"tRNA (guanine-N(1)-)-methyltransferase"(display_long)|uniprotkb:Cj0713(locus name)|uniprotkb:M1G-methyltransferase(gene name synonym)|uniprotkb:tRNA [GM37] methyltransferase(gene name synonym)|uniprotkb:trmD(gene name)	psi-mi:"MI:0397"(two hybrid array)	Parrish JR. et al.(2007)	intact:EBI-1991756|pubmed:17615063	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	taxid:192222(camje)|taxid:192222("Campylobacter jejuni subsp. jejuni serotype O:2 (strain NCTC 11168)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1356134	intact-miscore:0.37|author-based confidence:0.61
